id,mappings,description
CCN201810310,,
CCN201810310_class,,
CCN201810310_equivalent_reification,,
CCN201810310_markers,,
CCN201908210,,
CCN201908210_class,,
CCN201908210_equivalent_reification,,
CCN201908210_markers,,
CCN201908211,,
CCN201908211_class,,
CCN201908211_equivalent_reification,,
CCN201908211_markers,,
CCN202002013,,
CCN202002013_class,,
CCN202002013_equivalent_markers,,
CCN202002013_equivalent_reification,,
CCN202002013_markers,,
CS202002013_markers_denormalized,,
ensmusg,,

